District,Grade,Year,Category,Number Tested,Mean Scale Score,Lvl1Cnt,Lvl1Pct,Lvl2Cnt,Lvl2Pct,Lvl3Cnt,Lvl3Pct,Lvl4Cnt,Lvl4Pct,PassCnt,PassPct
1,3,2013,All Students,877,303,310,35.3,266,30.3,224,25.5,77,8.8,301,34.3
1,3,2014,All Students,845,299,333,39.4,213,25.2,232,27.5,67,7.9,299,35.4
1,3,2015,All Students,750,303,264,35.2,205,27.3,191,25.5,90,12.0,281,37.5
1,4,2013,All Students,830,304,238,28.7,306,36.9,169,20.4,117,14.1,286,34.5
1,4,2014,All Students,824,307,222,26.9,274,33.3,174,21.1,154,18.7,328,39.8
1,4,2015,All Students,771,303,226,29.3,265,34.4,143,18.5,137,17.8,280,36.3
1,5,2013,All Students,773,302,267,34.5,270,34.9,144,18.6,92,11.9,236,30.5
1,5,2014,All Students,757,300,264,34.9,237,31.3,144,19.0,112,14.8,256,33.8
1,5,2015,All Students,790,304,251,31.8,228,28.9,160,20.3,151,19.1,311,39.4
1,6,2013,All Students,875,303,248,28.3,342,39.1,90,10.3,195,22.3,285,32.6
1,6,2014,All Students,738,305,183,24.8,299,40.5,82,11.1,174,23.6,256,34.7
1,6,2015,All Students,785,304,228,29.0,262,33.4,112,14.3,183,23.3,295,37.6
1,7,2013,All Students,900,300,332,36.9,293,32.6,159,17.7,116,12.9,275,30.6
1,7,2014,All Students,812,304,236,29.1,247,30.4,222,27.3,107,13.2,329,40.5
1,7,2015,All Students,736,299,243,33.0,231,31.4,176,23.9,86,11.7,262,35.6
1,8,2013,All Students,811,299,274,33.8,264,32.6,150,18.5,123,15.2,273,33.7
1,8,2014,All Students,857,304,218,25.4,313,36.5,182,21.2,144,16.8,326,38.0
1,8,2015,All Students,809,302,226,27.9,235,29.0,212,26.2,136,16.8,348,43.0
1,All Grades,2013,All Students,5066,302,1669,32.9,1741,34.4,936,18.5,720,14.2,1656,32.7
1,All Grades,2014,All Students,4833,303,1456,30.1,1583,32.8,1036,21.4,758,15.7,1794,37.1
1,All Grades,2015,All Students,4641,303,1438,31.0,1426,30.7,994,21.4,783,16.9,1777,38.3
2,3,2013,All Students,2683,315,527,19.6,780,29.1,1166,43.5,210,7.8,1376,51.3
2,3,2014,All Students,2803,317,500,17.8,715,25.5,1322,47.2,266,9.5,1588,56.7
2,3,2015,All Students,2800,320,422,15.1,825,29.5,1227,43.8,326,11.6,1553,55.5
2,4,2013,All Students,2583,318,348,13.5,819,31.7,799,30.9,617,23.9,1416,54.8
2,4,2014,All Students,2608,321,350,13.4,696,26.7,854,32.7,708,27.1,1562,59.9
2,4,2015,All Students,2718,325,274,10.1,689,25.3,856,31.5,899,33.1,1755,64.6
2,5,2013,All Students,2433,321,352,14.5,687,28.2,825,33.9,569,23.4,1394,57.3
2,5,2014,All Students,2541,320,407,16.0,695,27.4,742,29.2,697,27.4,1439,56.6
2,5,2015,All Students,2529,321,348,13.8,705,27.9,795,31.4,681,26.9,1476,58.4
2,6,2013,All Students,2215,317,316,14.3,715,32.3,523,23.6,661,29.8,1184,53.5
2,6,2014,All Students,2275,317,273,12.0,823,36.2,518,22.8,661,29.1,1179,51.8
2,6,2015,All Students,2360,320,306,13.0,704,29.8,523,22.2,827,35.0,1350,57.2
2,7,2013,All Students,2354,315,435,18.5,701,29.8,805,34.2,413,17.5,1218,51.7
